source,name,pharmacy,scraped_price,median_scraped_price,pct_from_median,nadac_description,nadac_ndc,nadac_per_unit,baseline_quantity,nadac_wholesale_total,retail_markup_vs_nadac,median_retail_markup,pct_markup_drift,nadac_lookup_status,flagged,flag_reasons
national,Acetaminophen,Walgreens,2.55,5.66,,ACETAMINOPHEN 500 MG TABLET,70000041002,0.03024,30.0,0.9072,2.81,6.24,0.5495,ok_exact,yes,markup_drift>30%
national,Acetaminophen,Walmart Neighborhood Market,3.57,5.66,,ACETAMINOPHEN 500 MG TABLET,70000041002,0.03024,30.0,0.9072,3.94,6.24,0.3693,ok_exact,yes,markup_drift>30%
national,Acetaminophen,Harris Teeter,18.78,5.66,,ACETAMINOPHEN 500 MG TABLET,70000041002,0.03024,30.0,0.9072,20.7,6.24,2.318,ok_exact,yes,markup_drift>30%
national,Acetaminophen,Food Lion Pharmacy,14.32,5.66,,ACETAMINOPHEN 500 MG TABLET,70000041002,0.03024,30.0,0.9072,15.78,6.24,1.53,ok_exact,yes,markup_drift>30%
national,Acetaminophen,"Community, a Walgreens Pharmacy",2.0,5.66,,ACETAMINOPHEN 500 MG TABLET,70000041002,0.03024,30.0,0.9072,2.2,6.24,0.6466,ok_exact,yes,markup_drift>30%
national,Acetaminophen,Kroger Pharmacy,18.78,5.66,,ACETAMINOPHEN 500 MG TABLET,70000041002,0.03024,30.0,0.9072,20.7,6.24,2.318,ok_exact,yes,markup_drift>30%
national,Aluminum,Walmart,13.43,15.52,,ALUMINUM HYDROXIDE GEL,00536009185,0.01052,1.0,0.0105,1279.05,1477.62,0.1344,ok_contains,yes,above_retail_ceiling; review_baseline_mapping
national,Aluminum,CVS Pharmacy,23.97,15.52,,ALUMINUM HYDROXIDE GEL,00536009185,0.01052,1.0,0.0105,2282.86,1477.62,0.545,ok_contains,yes,markup_drift>30%; above_retail_ceiling; review_baseline_mapping
national,Aluminum,Walgreens,4.87,15.52,,ALUMINUM HYDROXIDE GEL,00536009185,0.01052,1.0,0.0105,463.81,1477.62,0.6861,ok_contains,yes,markup_drift>30%; above_retail_ceiling; review_baseline_mapping
national,Aluminum,Walmart Neighborhood Market,13.43,15.52,,ALUMINUM HYDROXIDE GEL,00536009185,0.01052,1.0,0.0105,1279.05,1477.62,0.1344,ok_contains,yes,above_retail_ceiling; review_baseline_mapping
national,Aluminum,Costco,7.43,15.52,,ALUMINUM HYDROXIDE GEL,00536009185,0.01052,1.0,0.0105,707.62,1477.62,0.5211,ok_contains,yes,markup_drift>30%; above_retail_ceiling; review_baseline_mapping
national,Aluminum,Target (CVS),23.97,15.52,,ALUMINUM HYDROXIDE GEL,00536009185,0.01052,1.0,0.0105,2282.86,1477.62,0.545,ok_contains,yes,markup_drift>30%; above_retail_ceiling; review_baseline_mapping
national,Aluminum,Harris Teeter,21.74,15.52,,ALUMINUM HYDROXIDE GEL,00536009185,0.01052,1.0,0.0105,2070.48,1477.62,0.4012,ok_contains,yes,markup_drift>30%; above_retail_ceiling; review_baseline_mapping
national,Aluminum,Food Lion Pharmacy,17.6,15.52,,ALUMINUM HYDROXIDE GEL,00536009185,0.01052,1.0,0.0105,1676.19,1477.62,0.1344,ok_contains,yes,above_retail_ceiling; review_baseline_mapping
national,Aluminum,Publix,12.74,15.52,,ALUMINUM HYDROXIDE GEL,00536009185,0.01052,1.0,0.0105,1213.33,1477.62,0.1789,ok_contains,yes,above_retail_ceiling; review_baseline_mapping
national,Aluminum,Kroger Pharmacy,21.74,15.52,,ALUMINUM HYDROXIDE GEL,00536009185,0.01052,1.0,0.0105,2070.48,1477.62,0.4012,ok_contains,yes,markup_drift>30%; above_retail_ceiling; review_baseline_mapping
national,Amlodipine,CVS Pharmacy,15.42,7.99,,AMLODIPINE BESYLATE 5 MG TAB,60687048801,0.01105,30.0,0.3315,46.52,24.1,0.9299,ok_exact,yes,markup_drift>30%; above_retail_ceiling
national,Amlodipine,Walmart,9.0,7.99,,AMLODIPINE BESYLATE 5 MG TAB,60687048801,0.01105,30.0,0.3315,27.15,24.1,0.1264,ok_exact,yes,above_retail_ceiling
national,Amlodipine,Target (CVS),15.42,7.99,,AMLODIPINE BESYLATE 5 MG TAB,60687048801,0.01105,30.0,0.3315,46.52,24.1,0.9299,ok_exact,yes,markup_drift>30%; above_retail_ceiling
national,Amlodipine,Walmart Neighborhood Market,9.0,7.99,,AMLODIPINE BESYLATE 5 MG TAB,60687048801,0.01105,30.0,0.3315,27.15,24.1,0.1264,ok_exact,yes,above_retail_ceiling
national,Amlodipine,Publix,2.0,7.99,,AMLODIPINE BESYLATE 5 MG TAB,60687048801,0.01105,30.0,0.3315,6.03,24.1,0.7497,ok_exact,yes,markup_drift>30%
national,Aspirin,Walmart,10.45,9.44,,ASPIRIN 325 MG TABLET,00536105405,0.01053,30.0,0.3159,33.08,29.88,0.107,ok_contains,yes,above_retail_ceiling; review_baseline_mapping
national,Aspirin,Walgreens,2.0,9.44,,ASPIRIN 325 MG TABLET,00536105405,0.01053,30.0,0.3159,6.33,29.88,0.7881,ok_contains,yes,markup_drift>30%; review_baseline_mapping
